iter	RMSE
0	76237.70125
1	75491.75654
2	74892.02753
3	74394.92304
4	73896.92398
5	73502.53053
6	73172.18968
7	72908.45453
8	72669.6424
9	72420.22551
10	72207.06382
11	72050.29033
12	71933.1932
13	71815.02474
14	71715.52512
15	71629.48892
16	71544.44286
17	71459.40637
18	71381.58386
19	71317.87033
20	71238.65503
21	71183.49333
22	71140.58192
23	71096.56809
24	71044.92182
25	71003.93516
26	70968.3841
27	70921.10679
28	70891.82049
29	70864.63817
30	70838.20475
31	70807.36308
32	70782.16091
33	70760.5844
34	70741.59156
35	70728.13796
36	70685.59156
37	70650.24728
38	70633.20298
39	70607.78664
40	70583.02353
41	70573.82849
42	70558.94603
43	70527.12906
44	70510.84062
45	70495.65456
46	70475.66461
47	70427.52751
48	70414.0249
49	70393.32529
50	70382.41908
51	70344.51084
52	70335.38888
53	70325.15045
54	70316.63496
55	70304.60264
56	70266.99809
57	70253.72422
58	70240.02363
59	70227.57569
60	70215.88948
61	70200.49405
62	70192.31879
63	70172.75197
64	70143.52076
65	70137.84622
66	70127.899
67	70098.98835
68	70081.3908
69	70068.12591
70	70057.84084
71	70027.45196
72	70014.67786
73	69998.41375
74	69973.97162
75	69950.3823
76	69930.43462
77	69913.69709
78	69904.75794
79	69889.44738
80	69864.03923
81	69856.38041
82	69840.70827
83	69833.15359
84	69818.29289
85	69804.13256
86	69790.75411
87	69780.08044
88	69764.49467
89	69758.45102
90	69748.16436
91	69739.49022
92	69724.32427
93	69716.79974
94	69694.81551
95	69669.55271
96	69661.01617
97	69650.26912
98	69638.71819
99	69626.95815
100	69613.06612
101	69600.24474
102	69574.90637
103	69568.23974
104	69549.35843
105	69538.72203
106	69524.85322
107	69515.15905
108	69494.83652
109	69483.47526
110	69477.39141
111	69473.20795
112	69464.48389
113	69456.30809
114	69447.92173
115	69428.4285
116	69422.57278
117	69410.20801
118	69399.30019
119	69395.6537
120	69383.89881
121	69371.99458
122	69363.01009
123	69354.38864
124	69349.66792
125	69336.27097
126	69322.59048
127	69314.79091
128	69307.25511
129	69292.96529
130	69285.16369
131	69271.23315
132	69263.44679
133	69200.97177
134	69188.38878
135	69179.65571
136	69170.77905
137	69164.04761
138	69146.14981
139	69130.31958
